"carat","cut","color","clarity","depth","table","price","x","y","z"
0.51,"Ideal","E","VVS1",61.3,56,3197,5.13,5.21,3.17
1.14,"Ideal","H","VS2",61.6,56,5831,6.68,6.72,4.13
0.53,"Ideal","D","SI1",61.7,56,1753,5.23,5.15,3.2
0.79,"Ideal","D","SI1",61.3,54,3328,5.96,6.01,3.67
0.8,"Premium","D","SI1",59.4,55,3226,6.06,6.02,3.59
1.7,"Premium","H","SI1",61.8,61,11848,7.59,7.52,4.67
0.51,"Ideal","D","VS1",61.7,54,1845,5.15,5.12,3.17
1,"Good","H","VS2",56.9,63,5208,6.6,6.57,3.75
1.01,"Premium","G","SI2",62.1,61,4038,6.38,6.27,3.93
0.9,"Premium","H","VS2",61.8,56,4082,6.25,6.18,3.84
1.58,"Ideal","H","VVS2",61.4,56,13397,7.49,7.52,4.61
0.5,"Very Good","F","SI1",63.2,58,1106,5.08,5.04,3.2
0.7,"Fair","I","SI1",65.2,58,1749,5.6,5.56,3.64
0.31,"Ideal","G","VS1",60.8,57,645,4.39,4.42,2.68
0.77,"Premium","F","SI1",61,58,2856,5.94,5.9,3.61
0.7,"Good","G","VVS1",58.5,62,3380,5.8,5.82,3.4
0.3,"Premium","H","VVS2",61.5,58,605,4.28,4.3,2.64
0.9,"Very Good","F","VS2",63.2,58,4504,6.11,6.16,3.88
0.4,"Ideal","G","VVS2",62.6,53,917,4.72,4.77,2.97
0.57,"Ideal","G","VS1",61.3,56,1851,5.34,5.36,3.28
0.3,"Ideal","F","VS1",61.6,54,621,4.32,4.35,2.67
1.21,"Fair","J","SI1",65,59,4147,6.64,6.57,4.29
0.4,"Very Good","E","SI1",63.5,57,882,4.72,4.7,2.99
0.32,"Ideal","F","IF",61.2,57,958,4.44,4.45,2.72
0.7,"Ideal","E","SI1",61.6,56,2789,5.72,5.75,3.53
0.24,"Very Good","E","VVS2",62.8,58,478,3.92,3.95,2.47
0.41,"Premium","G","VS2",62.4,58,827,4.72,4.76,2.96
1.06,"Ideal","I","SI2",61.4,57,3777,6.57,6.63,4.05
1.5,"Premium","J","VS1",62,61,7832,7.37,7.24,4.53
0.31,"Ideal","G","VS2",61.7,57,698,4.36,4.33,2.68
0.9,"Premium","G","SI2",59.5,61,3326,6.33,6.28,3.75
0.34,"Premium","D","VS2",59.3,58,1033,4.55,4.52,2.69
0.51,"Ideal","E","SI1",59.6,57,1546,5.24,5.2,3.11
0.67,"Fair","F","SI1",56,67,1642,5.81,5.78,3.25
0.32,"Ideal","E","VS1",62.3,54,825,4.37,4.4,2.73
1.03,"Very Good","D","VVS2",62.7,58,11677,6.39,6.43,4.02
0.4,"Premium","D","SI2",59.9,60,855,4.78,4.74,2.85
0.56,"Good","E","SI2",63.5,57,1172,5.21,5.24,3.32
1.18,"Premium","H","VS2",61.1,60,4916,6.8,6.76,4.14
1.01,"Premium","H","VS2",61.3,59,4959,6.44,6.48,3.96
1.5,"Very Good","E","SI1",59.6,58,11586,7.38,7.41,4.41
0.55,"Ideal","G","VS2",61.4,56.3,1662,5.26,5.29,3.24
2.01,"Very Good","E","SI2",61.2,58,14813,8.05,8.07,4.93
1.11,"Ideal","H","VVS2",61.2,56,7136,6.74,6.7,4.11
0.59,"Very Good","G","SI2",60.6,56,1210,5.47,5.48,3.32
1.04,"Premium","G","SI1",59.2,61,4811,6.68,6.63,3.94
0.41,"Ideal","F","IF",61.7,56,1304,4.79,4.83,2.97
1.51,"Ideal","G","VS1",62.1,55,13995,7.38,7.33,4.57
0.92,"Very Good","F","SI2",60.6,63,3534,6.34,6.25,3.81
1.07,"Ideal","G","SI2",61.7,57,4421,6.55,6.59,4.05
0.51,"Premium","G","VVS2",61.7,58,1974,5.14,5.11,3.16
0.51,"Ideal","E","VVS1",61.3,56,3226,5.21,5.13,3.17
1.13,"Fair","I","VS2",55.9,67,4695,7.05,6.94,3.9
1.11,"Premium","H","VS1",62.3,57,4687,6.67,6.62,4.14
0.3,"Very Good","H","SI1",61.3,58,421,4.29,4.33,2.64
1.28,"Very Good","G","VS1",59.2,57,8895,7.05,7.13,4.2
0.28,"Very Good","F","VVS2",61.6,56,707,4.2,4.23,2.59
0.5,"Good","G","VVS1",60,62,1966,5.12,5.18,3.09
0.33,"Premium","E","VS2",61,60,928,4.47,4.42,2.71
0.39,"Very Good","F","VVS1",60.8,57,1107,4.72,4.75,2.88
0.79,"Good","F","SI2",64.3,60,1943,5.82,5.75,3.72
0.31,"Premium","E","VS1",61.9,56,816,4.37,4.32,2.69
1,"Good","D","I1",57.8,62,2657,6.51,6.47,3.75
0.5,"Good","D","SI1",63.6,54,1436,5.02,5.08,3.21
0.3,"Premium","D","VS2",61,58,710,4.32,4.34,2.64
1.53,"Very Good","E","SI2",63.1,59,8654,7.38,7.21,4.61
0.91,"Very Good","G","SI2",63.4,60,3891,6.11,6.06,3.86
1.19,"Good","G","VVS2",61.1,61,8995,6.86,6.83,4.18
1.08,"Fair","E","SI2",64.9,60,3861,6.43,6.39,4.16
0.33,"Premium","G","VS1",62,59,854,4.42,4.36,2.72
1.13,"Very Good","H","SI2",59.8,59,4537,6.75,6.82,4.06
0.38,"Very Good","D","VS2",63.1,55,1005,4.6,4.59,2.9
1.51,"Very Good","E","SI2",58.8,58,9727,7.53,7.61,4.45
1,"Ideal","D","SI2",61.5,56,4956,6.45,6.41,3.95
1.41,"Very Good","H","VS2",62.5,58,8846,7.08,7.12,4.44
0.54,"Very Good","E","VS2",61.5,59,1726,5.21,5.23,3.21
0.53,"Premium","D","VS1",62.4,61,1940,5.25,5.14,3.24
0.72,"Ideal","H","VS1",61.4,56,2998,5.79,5.81,3.56
0.71,"Premium","G","SI1",62.3,56,2283,5.69,5.65,3.53
0.46,"Ideal","I","VS2",62.2,56,1073,4.96,4.9,3.07
0.5,"Good","G","VS2",57.9,61,1415,5.23,5.2,3.02
1.01,"Good","E","VVS2",63.9,58,8569,6.37,6.31,4.05
0.32,"Premium","G","VS2",61.1,58,720,4.45,4.42,2.71
2.02,"Very Good","J","VS2",59.3,60,13693,8.28,8.34,4.93
1.3,"Very Good","G","VS1",62.5,57,9837,6.92,6.96,4.34
0.52,"Ideal","E","SI1",60.9,57,1713,5.17,5.2,3.16
1,"Ideal","F","SI1",60,57,4939,6.45,6.41,3.86
0.7,"Ideal","I","VVS1",61.8,56,2492,5.72,5.74,3.54
0.54,"Premium","H","VS2",61.9,55,1389,5.25,5.22,3.24
1.5,"Good","H","SI2",63.6,60,6770,7.3,7.23,4.63
1.04,"Very Good","H","SI2",62.9,57,4435,6.39,6.45,4.04
1.51,"Good","I","VVS1",64,60,9471,7.26,7.21,4.63
0.41,"Ideal","E","SI1",61.2,55,824,4.8,4.84,2.95
0.9,"Good","G","SI1",63.7,56,3074,6.1,6.06,3.87
0.78,"Very Good","H","VS1",61.9,57.1,2854,5.87,5.95,3.66
0.4,"Premium","D","SI1",59.9,60,772,4.75,4.77,2.85
1.28,"Good","H","SI2",56.8,62,4086,7.22,7.16,4.08
0.28,"Good","J","VVS2",58.4,60,375,4.27,4.33,2.51
1.1,"Premium","H","SI1",63,58,4916,6.6,6.55,4.14
0.32,"Ideal","D","VS2",61.9,55,758,4.41,4.44,2.74
0.41,"Good","H","SI1",63.3,56,683,4.71,4.74,2.99
0.5,"Premium","E","SI1",62.4,60,1238,4.98,4.96,3.1
1.29,"Good","F","SI1",63.8,60,7828,6.9,6.86,4.39
0.33,"Good","F","VVS1",60.2,64,724,4.47,4.5,2.7
1.01,"Premium","F","VS1",62.5,58,7465,6.37,6.42,4
0.37,"Ideal","G","VVS2",60.7,55,1073,4.66,4.7,2.84
0.32,"Ideal","G","SI1",62.5,55,612,4.38,4.35,2.73
1.02,"Premium","G","VS1",62,56,6683,6.5,6.43,4.01
0.51,"Ideal","G","VVS2",61.5,57,1974,5.18,5.13,3.17
0.8,"Ideal","F","SI2",61.8,59,3066,5.94,5.96,3.68
1,"Very Good","G","VVS2",63.1,58,7589,6.37,6.33,4.01
1.21,"Very Good","G","SI1",63.4,60,4637,6.68,6.63,4.22
1.07,"Ideal","F","SI2",61.5,57,4678,6.57,6.6,4.05
1,"Ideal","D","SI1",62.5,55,4928,6.43,6.38,4
1.52,"Premium","G","VVS1",62.7,59,12498,7.32,7.35,4.6
0.51,"Ideal","D","VS2",61.8,55,1787,5.15,5.18,3.19
1.2,"Premium","H","VS2",62.8,58,6416,6.75,6.7,4.22
1.1,"Ideal","F","VVS2",61.2,56,9343,6.71,6.64,4.08
1.01,"Very Good","E","VS2",63,60,6221,6.32,6.35,3.99
0.33,"Very Good","I","VVS1",61.7,61,608,4.43,4.45,2.74
1.51,"Premium","I","SI2",62.7,55,7766,7.37,7.28,4.59
2.1,"Ideal","I","SI1",61.6,57,12168,8.24,8.15,5.05
0.29,"Ideal","E","VVS2",61.9,56,815,4.22,4.24,2.62
0.73,"Ideal","G","VVS2",61.3,57,2843,5.81,5.84,3.57
0.34,"Ideal","G","IF",61.7,55,1014,4.48,4.5,2.77
0.7,"Very Good","E","IF",60.3,59,4679,5.72,5.76,3.46
0.41,"Ideal","F","SI1",63,56,904,4.78,4.71,2.99
0.35,"Ideal","I","VS2",61.1,57,509,4.55,4.58,2.79
0.81,"Very Good","G","SI2",62.9,56.9,2493,5.89,5.96,3.73
1.16,"Ideal","G","VVS2",62.2,56,9251,6.7,6.74,4.18
0.52,"Very Good","F","VVS2",62.9,57,2035,5.11,5.13,3.22
1,"Ideal","H","SI1",61.4,55,4469,6.49,6.44,3.97
0.3,"Very Good","H","VS1",63.2,58,630,4.26,4.22,2.68
0.6,"Ideal","E","VS2",60.6,56,2141,5.47,5.52,3.33
0.33,"Premium","H","VS2",61.7,59,668,4.42,4.39,2.72
0.5,"Ideal","G","VVS1",62.2,56,2070,5.12,5.1,3.18
1.16,"Ideal","I","VS2",61.5,57,5207,6.75,6.78,4.16
0.51,"Premium","G","SI1",62,56,1250,5.14,5.12,3.18
1.01,"Premium","H","SI1",60.4,60,4977,6.55,6.47,3.93
0.35,"Premium","E","VVS1",61,58,1116,4.56,4.52,2.77
1.06,"Ideal","G","VVS2",61.4,57,8726,6.52,6.55,4.01
0.56,"Very Good","F","SI1",60,57,1679,5.41,5.38,3.24
0.28,"Good","H","VVS1",56,64,480,4.38,4.41,2.46
0.4,"Very Good","E","VS2",62.9,55,912,4.73,4.74,2.98
0.36,"Ideal","E","VS1",61.4,54,835,4.59,4.63,2.83
0.3,"Premium","E","SI1",59.5,58,526,4.39,4.42,2.62
1.01,"Very Good","E","SI2",59.6,61,4355,6.56,6.59,3.92
0.95,"Ideal","I","VS2",62.2,57,3884,6.29,6.22,3.89
1.29,"Ideal","J","VS2",62.1,59,5771,6.92,6.96,4.31
0.41,"Good","E","SI1",63.1,57,705,4.73,4.78,3
1.11,"Ideal","E","SI2",62,57,4196,6.67,6.63,4.12
0.31,"Ideal","D","SI1",62,55,732,4.38,4.36,2.71
1.51,"Premium","I","VS1",61.1,61,10401,7.37,7.32,4.49
1,"Premium","H","IF",60.6,57,7235,6.54,6.47,3.94
0.91,"Very Good","F","SI1",62.3,58,4785,6.14,6.19,3.84
0.31,"Very Good","D","VS2",61.8,57,734,4.36,4.41,2.71
0.32,"Premium","E","VS2",62.6,58,702,4.36,4.4,2.74
0.3,"Premium","H","VVS1",62.6,60,878,4.26,4.21,2.65
1.5,"Premium","F","SI1",61.4,59,11588,7.34,7.31,4.5
1.06,"Ideal","E","IF",62,57,13344,6.49,6.54,4.04
1.62,"Premium","F","SI1",60.1,58,11733,7.63,7.59,4.57
2.04,"Very Good","I","I1",59.3,61,8257,8.25,8.3,4.91
0.38,"Ideal","F","SI1",61,56,874,4.7,4.73,2.87
0.57,"Ideal","F","VS1",61.9,56,2052,5.39,5.3,3.31
1.24,"Premium","I","VS2",61.2,58,4858,6.94,6.89,4.23
0.79,"Ideal","G","SI1",62.3,57,2898,5.9,5.85,3.66
0.42,"Premium","G","VS1",60.6,58,984,4.95,4.82,2.96
0.54,"Ideal","F","VS1",62.2,55,1799,5.23,5.25,3.26
0.4,"Good","F","SI1",63.6,59,678,4.64,4.67,2.96
1.02,"Premium","D","VVS2",61.4,58,10580,6.43,6.46,3.96
1.34,"Ideal","I","VVS2",61.4,56,8079,7.07,7.09,4.35
0.77,"Premium","E","SI1",60.4,58,2975,6,5.88,3.59
0.3,"Ideal","E","SI1",62.4,57,499,4.27,4.29,2.67
0.39,"Premium","H","VS1",61.7,57,1009,4.68,4.65,2.88
0.7,"Very Good","E","SI1",63.2,57,2518,5.63,5.61,3.55
1.54,"Good","H","VS1",63.1,57,10769,7.34,7.4,4.65
1.01,"Ideal","H","SI1",62.3,55,5029,6.46,6.45,4.02
1.13,"Very Good","E","SI2",60.3,58,5052,6.78,6.86,4.11
1.02,"Premium","F","SI2",61.5,58,4459,6.42,6.49,3.97
0.9,"Ideal","G","VS2",62,57,4561,6.19,6.22,3.85
1.51,"Very Good","F","VVS2",61.9,58,16716,7.3,7.36,4.54
1.21,"Premium","G","VS1",62.7,58,8774,6.85,6.76,4.27
0.38,"Very Good","G","SI1",62.1,54,755,4.64,4.67,2.9
0.41,"Ideal","E","VS2",62.2,56,848,4.75,4.8,2.97
0.77,"Very Good","F","VVS2",60.6,60,3917,5.89,5.92,3.58
0.55,"Very Good","D","VVS1",61.5,56,2815,5.23,5.27,3.23
0.5,"Premium","D","VS2",61.9,58,1845,5.1,5.04,3.14
1.51,"Good","G","SI2",63.7,57,7695,7.28,7.21,4.62
0.7,"Fair","G","VS1",65.6,60,2384,5.57,5.5,3.63
1.05,"Good","I","VS2",63.1,58,4529,6.42,6.47,4.07
0.56,"Ideal","G","VS2",61,57,1580,5.32,5.34,3.25
2.5,"Fair","G","I1",65.1,59,8711,8.55,8.39,5.53
2.07,"Ideal","F","SI2",60.5,57,13373,8.28,8.21,4.99
0.39,"Premium","I","VVS2",63,56,1009,4.68,4.62,2.93
0.7,"Very Good","E","SI1",63.2,60,2777,5.6,5.51,3.51
1.01,"Good","I","SI1",64.1,59,3676,6.24,6.21,3.99
0.3,"Ideal","G","VS1",60.4,55,637,4.38,4.41,2.66
0.37,"Very Good","E","VVS2",61.2,55,779,4.63,4.68,2.85
0.72,"Premium","H","SI1",62.5,57,2398,5.73,5.67,3.56
1.5,"Premium","E","VS2",59.4,62,12587,7.48,7.4,4.42
0.42,"Ideal","E","VS2",60.9,57,902,4.85,4.87,2.96
1,"Premium","F","VS2",62.2,59,6328,6.37,6.29,3.94
0.73,"Very Good","I","VVS2",62.3,58,2565,5.75,5.78,3.59
0.51,"Ideal","D","SI2",61.1,56,1359,5.18,5.16,3.16
0.31,"Good","E","VS1",59,63,600,4.44,4.47,2.63
0.36,"Ideal","D","VS2",62.5,55,773,4.55,4.57,2.85
0.56,"Ideal","F","SI1",60.1,58,1394,5.36,5.39,3.23
0.55,"Premium","I","VVS1",61.3,59,1712,5.3,5.27,3.24
0.41,"Ideal","E","VS1",62.3,57,1153,4.77,4.74,2.96
0.9,"Premium","G","SI2",62.8,61,3385,6.14,6.09,3.84
0.73,"Ideal","D","VVS2",61.3,56,4372,5.79,5.82,3.56
1.41,"Ideal","H","SI2",62,56,8030,7.17,7.24,4.47
0.53,"Ideal","F","VVS2",61.6,55,2131,5.21,5.24,3.22
0.72,"Very Good","E","SI1",62.5,58,2618,5.68,5.72,3.56
0.35,"Premium","D","VS2",59.7,58,829,4.57,4.61,2.74
1,"Very Good","E","SI2",63.3,58,4579,6.35,6.32,4.01
1,"Ideal","H","SI2",61.2,57,4260,6.42,6.45,3.94
0.3,"Good","F","VS2",63.1,55,484,4.24,4.29,2.69
1,"Premium","E","SI1",60.5,59,5396,6.45,6.4,3.89
0.36,"Premium","H","VS1",60.8,59,810,4.62,4.59,2.8
1.1,"Ideal","G","SI2",62.1,58,5361,6.61,6.63,4.11
1.5,"Premium","J","VS2",61.7,56,7308,7.33,7.23,4.49
0.67,"Good","F","VS1",64.4,57,2244,5.55,5.6,3.6
1,"Very Good","F","SI1",61.8,58,5058,6.37,6.44,3.96
0.56,"Ideal","G","VS1",61.2,54,1890,5.36,5.32,3.27
0.4,"Very Good","H","SI1",62.1,62,666,4.7,4.73,2.93
0.9,"Ideal","D","SI2",62.3,57,3871,6.17,6.23,3.86
0.53,"Ideal","E","VVS2",62.5,57,2250,5.12,5.18,3.22
1.58,"Ideal","E","SI1",61,57,13557,7.55,7.5,4.59
0.63,"Ideal","H","VS1",61.2,57,2040,5.5,5.55,3.37
1.29,"Ideal","H","SI1",61.8,55,7513,6.99,6.95,4.31
0.9,"Ideal","F","SI2",62.6,57,3704,6.2,6.13,3.86
1.75,"Ideal","J","SI1",63.3,59,8840,7.63,7.57,4.81
0.52,"Premium","E","VS1",61.6,58,1668,5.14,5.18,3.18
1.08,"Very Good","H","SI1",61.8,53,5375,6.62,6.63,4.09
0.57,"Ideal","E","SI1",61.8,57,1608,5.28,5.33,3.28
1,"Very Good","D","VS1",60.5,59,8077,6.43,6.46,3.9
0.7,"Very Good","F","VS2",62.6,57,2362,5.62,5.69,3.54
1.01,"Very Good","D","SI1",62.9,58,5731,6.33,6.38,4
1.51,"Ideal","G","VS1",61.7,54,13818,7.36,7.41,4.56
1.2,"Ideal","I","VS2",62.1,57,5914,6.78,6.71,4.19
1.12,"Premium","F","SI2",60.5,59,4570,6.73,6.79,4.09
0.9,"Very Good","F","SI1",62.8,56,3842,6.11,6.15,3.85
0.71,"Good","I","VS1",63.6,56,2306,5.65,5.7,3.61
0.39,"Very Good","H","VS2",60.7,56,661,4.77,4.79,2.9
1.21,"Ideal","F","VS1",61.8,56,10504,6.84,6.86,4.23
0.27,"Premium","E","VVS2",59,59,799,4.27,4.24,2.51
0.49,"Good","F","VS1",59.2,60.9,1294,5.08,5.18,3.04
1.06,"Ideal","I","SI2",61.8,57,4270,6.57,6.6,4.07
0.41,"Ideal","F","VS2",62.3,57,863,4.75,4.78,2.97
1.53,"Premium","F","VS1",60.3,58,15217,7.51,7.48,4.52
0.53,"Very Good","G","SI1",63.4,54,1161,5.09,5.13,3.24
1.01,"Premium","D","SI1",61.5,59,5860,6.46,6.39,3.95
1.02,"Ideal","I","SI2",62.9,56,3521,6.45,6.37,4.03
0.38,"Very Good","G","VS2",62.5,56,775,4.59,4.63,2.88
0.74,"Good","D","SI1",63.1,59,2753,5.71,5.74,3.61
1.21,"Ideal","H","VS1",60.5,57,7047,6.91,6.88,4.17
0.35,"Ideal","D","SI1",61.6,56,644,4.49,4.53,2.78
0.32,"Ideal","D","SI2",61.1,56,477,4.39,4.41,2.69
0.36,"Very Good","E","VS2",62.9,56,631,4.52,4.54,2.85
0.3,"Premium","D","SI1",62.2,61,709,4.28,4.24,2.65
2.04,"Very Good","H","SI2",62.7,56,15618,8.06,8.12,5.07
1,"Very Good","G","VS2",62.4,58,6449,6.31,6.38,3.96
0.96,"Premium","D","SI2",60,61,4274,6.36,6.32,3.81
0.92,"Very Good","F","SI2",62.1,59,3854,6.21,6.26,3.87
0.9,"Premium","F","SI2",61.4,62,3704,6.2,6.11,3.78
0.66,"Very Good","G","IF",60.5,59,3051,5.69,5.74,3.46
1,"Good","J","SI1",59.5,61,3616,6.46,6.52,3.86
0.28,"Very Good","E","VS1",58.9,58,487,4.27,4.32,2.53
0.42,"Very Good","E","SI1",61.4,54,728,4.83,4.87,2.98
0.33,"Ideal","G","VVS2",61.5,56,752,4.45,4.49,2.75
1.01,"Very Good","E","VS2",62.3,58,6310,6.39,6.45,4
0.52,"Ideal","D","VS2",61.9,57,1822,5.14,5.17,3.19
1.22,"Ideal","I","SI1",61.7,57,6012,6.85,6.82,4.22
0.34,"Premium","I","VS1",59.5,59,537,4.55,4.59,2.72
1.22,"Very Good","I","SI2",62.9,56,5072,6.79,6.84,4.29
0.9,"Very Good","F","SI2",63.4,59,3605,6.07,6.11,3.86
0.51,"Very Good","E","IF",63.3,58,2925,5.03,5.08,3.2
1.02,"Ideal","E","SI2",62.4,55,4478,6.47,6.44,4.03
0.31,"Very Good","G","VVS2",62.2,56,651,4.31,4.34,2.69
1.01,"Fair","F","SI2",67.3,62,3597,6.09,6.03,4.08
1.7,"Ideal","J","VS2",60.5,58,10002,7.73,7.74,4.68
1.15,"Premium","G","VVS1",60.8,58,9025,6.77,6.74,4.11
0.3,"Ideal","F","SI1",61.9,57,609,4.28,4.31,2.66
1.06,"Very Good","F","SI1",63.4,58,5520,6.51,6.42,4.1
0.59,"Very Good","I","SI1",61.7,55.2,1257,5.39,5.41,3.33
0.97,"Fair","F","I1",68.5,54,1787,6.26,6.05,4.22
0.71,"Very Good","F","SI1",61.8,58,2436,5.72,5.81,3.56
0.53,"Ideal","E","VS2",62.8,57,1776,5.19,5.16,3.25
1.5,"Very Good","F","VS2",62.6,59,13728,7.21,7.26,4.53
1.54,"Ideal","G","SI2",61.9,55,9193,7.47,7.39,4.6
1.55,"Ideal","E","VVS2",62.5,55,18188,7.38,7.4,4.62
0.51,"Good","D","SI1",64,58,1349,5.06,5.03,3.23
0.56,"Ideal","G","VVS1",62,56,2318,5.3,5.28,3.28
0.32,"Ideal","H","VS2",62.5,55,648,4.42,4.38,2.75
0.53,"Ideal","F","VVS2",62,57,2177,5.17,5.2,3.21
0.3,"Ideal","G","VVS2",62.2,54,819,4.33,4.29,2.68
0.55,"Premium","D","VS2",61.6,56,1894,5.33,5.28,3.27
1.59,"Very Good","J","VS1",60.7,59,8515,7.49,7.54,4.56
1.01,"Ideal","F","SI2",62.7,57,4843,6.36,6.39,4
1.2,"Ideal","F","VS2",62.3,55,8334,6.79,6.83,4.24
2.04,"Very Good","I","VS2",61,61,16616,8.08,8.14,4.95
0.58,"Very Good","F","SI2",63,56,1173,5.34,5.26,3.34
0.81,"Ideal","I","VS1",61.8,56,3422,5.97,6,3.7
0.24,"Very Good","E","VVS2",60.8,58,552,3.99,4.03,2.44
0.38,"Ideal","E","SI1",61.1,55,844,4.69,4.73,2.88
0.7,"Ideal","J","VS2",61.8,53,1874,5.73,5.76,3.55
0.3,"Premium","I","VS1",59.8,60,608,4.36,4.34,2.6
0.33,"Premium","I","VS1",59.5,60,521,4.5,4.54,2.69
0.7,"Ideal","G","SI1",62.7,57,2352,5.69,5.64,3.55
1.01,"Very Good","G","SI1",60,58,4719,6.51,6.55,3.92
0.31,"Ideal","D","SI2",62,56,462,4.33,4.35,2.69
0.38,"Very Good","E","VS2",60.5,62,866,4.65,4.74,2.84
0.56,"Very Good","G","SI1",58.8,59,1340,5.38,5.4,3.17
0.4,"Good","H","SI1",60.2,63,681,4.7,4.73,2.84
0.51,"Ideal","E","SI1",61.1,56,1443,5.2,5.17,3.17
0.38,"Ideal","I","SI2",61.6,56,554,4.65,4.67,2.87
0.55,"Very Good","G","SI1",60.7,56,1141,5.32,5.38,3.25
0.6,"Very Good","G","SI1",63.3,58,1399,5.34,5.31,3.37
0.52,"Ideal","G","VVS2",60.8,57,1878,5.2,5.17,3.15
0.37,"Ideal","D","VS2",61,56,876,4.65,4.7,2.85
0.73,"Fair","F","SI2",53.4,65,2164,6.19,6.15,3.3
1,"Fair","E","SI2",64.6,60,4077,6.23,6.18,4.01
0.74,"Ideal","F","VVS1",60.8,60,4127,5.82,5.86,3.55
1.74,"Premium","G","VS2",61,58,17614,7.77,7.75,4.73
1,"Very Good","H","SI1",62.8,56,4830,6.33,6.37,3.99
0.7,"Ideal","I","SI1",62.5,55,2110,5.68,5.71,3.56
1.54,"Premium","G","VS1",61.1,56,14438,7.54,7.48,4.59
0.7,"Very Good","F","VS1",60.5,57,2726,5.77,5.8,3.5
0.52,"Ideal","F","VS2",61.2,56,1625,5.19,5.37,3.2
1,"Premium","E","SI2",60.5,61,4077,6.38,6.31,3.84
0.76,"Good","D","VS2",63.5,55,3443,5.81,5.85,3.7
0.55,"Very Good","J","SI1",62.5,57,965,5.22,5.24,3.27
1.5,"Good","I","SI2",65,55,6364,7.15,7.24,4.68
0.32,"Premium","H","SI1",61.9,59,576,4.41,4.38,2.72
0.7,"Fair","F","I1",66.2,59,1087,5.59,5.4,3.65
1.7,"Premium","G","VVS2",59.8,59,18718,7.7,7.75,4.62
0.41,"Ideal","J","VS1",62.2,55,604,4.76,4.79,2.97
1.12,"Premium","H","SI2",62.4,58,4065,6.58,6.63,4.12
0.4,"Premium","E","VS2",62,58,1038,4.73,4.69,2.92
0.72,"Very Good","E","SI1",61.6,58,2688,5.74,5.78,3.55
0.93,"Ideal","G","SI1",62.2,58,4666,6.2,6.24,3.87
1.14,"Ideal","G","VS2",62,55,7371,6.68,6.77,4.17
0.35,"Ideal","F","VS2",62.1,57,906,4.55,4.53,2.82
0.31,"Ideal","H","IF",61.2,56,789,4.36,4.4,2.68
0.71,"Premium","J","VS2",62.8,61,1917,5.71,5.63,3.56
1.23,"Ideal","F","VS2",61.9,57,9759,6.86,6.9,4.26
0.75,"Very Good","I","SI1",63.7,56,2300,5.73,5.77,3.66
0.71,"Good","F","SI2",64.1,60,2130,0,0,0
1.01,"Good","D","SI2",63.9,57,4588,6.29,6.36,4.04
1.51,"Very Good","G","SI1",59.6,60,11029,7.43,7.47,4.44
0.51,"Ideal","E","VS2",60.4,57,1656,5.15,5.18,3.12
0.62,"Ideal","E","VVS2",62,56,2904,5.48,5.52,3.41
0.33,"Premium","E","VS2",61.7,60,928,4.45,4.4,2.73
0.33,"Premium","E","IF",60.8,58,1129,4.46,4.49,2.72
1.04,"Premium","E","SI2",61.6,58,3914,6.52,6.45,3.99
0.3,"Ideal","I","SI1",62.5,58,422,4.25,4.29,2.67
0.71,"Ideal","G","SI1",61.6,57,3007,5.73,5.76,3.54
1.21,"Premium","I","VS2",62.6,59,4884,6.77,6.67,4.21
1.2,"Very Good","G","VS1",62.5,57,8150,6.84,6.75,4.25
1.39,"Premium","E","SI2",62.7,58,7445,7.11,6.99,4.42
1.11,"Good","J","IF",58.3,62,5361,6.77,6.84,3.97
2.11,"Premium","G","SI2",62.2,58,13598,8.19,8.23,5.11
2,"Premium","I","VS2",62.5,57,17574,8.01,7.92,4.98
0.3,"Very Good","G","VVS1",62.9,57,789,4.26,4.3,2.69
0.71,"Ideal","E","SI2",65.5,55,2511,5.62,5.56,3.66
0.7,"Good","H","SI1",63.4,61,2066,5.58,5.62,3.55
2.02,"Ideal","H","SI1",62,56,17392,8.06,8.13,5.02
0.3,"Premium","F","SI1",62.1,60,641,4.28,4.26,2.65
1.01,"Premium","G","IF",63,60,8120,6.35,6.31,3.99
0.34,"Ideal","G","IF",60.1,57,1014,4.54,4.58,2.74
0.3,"Ideal","E","VVS1",61.4,56,895,4.33,4.37,2.67
0.6,"Ideal","F","VS2",61.5,56,2358,5.43,5.47,3.35
0.25,"Ideal","E","VVS1",61.5,55,705,4.09,4.12,2.52
0.9,"Good","H","SI1",64.4,58,3465,6.04,6.08,3.9
1.12,"Very Good","G","I1",61.2,63,3017,6.68,6.59,4.05
0.57,"Ideal","E","VS2",61.8,56,1851,5.29,5.33,3.28
0.4,"Ideal","E","VS2",61.1,56,975,4.77,4.75,2.91
1.01,"Ideal","G","SI1",60.8,56,5204,6.53,6.49,3.96
1.02,"Good","H","SI2",64.3,60,3713,6.36,6.25,4.06
0.9,"Very Good","H","VS1",62.1,57,4455,6.17,6.23,3.85
0.54,"Ideal","E","SI1",61.5,56,1594,5.31,5.26,3.25
1.16,"Ideal","G","SI1",61.8,55,5908,6.75,6.78,4.18
0.52,"Premium","G","VS2",62.4,56,1577,5.19,5.16,3.23
0.48,"Good","D","VS1",59.3,58,1743,5.09,5.13,3.03
0.52,"Ideal","E","VS2",61.5,56,1767,5.17,5.14,3.17
1.11,"Premium","F","VS1",60.7,59,7623,6.64,6.61,4.02
0.36,"Very Good","F","VS2",63.1,56,634,4.5,4.53,2.85
